ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,hour,month,day_name,year,Crime_Severity_Score,Crime_Type_Code,KMeans_Cluster,DBSCAN_Cluster,HC_Cluster,Temporal_cluster,TSNE_1,TSNE_2
14018436,JJ476517,2025-11-03 22:11:00,052XX S WHIPPLE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,1,1,923,9,14,63,08B,1156931.0,1869796.0,2025,11/11/2025 03:41:33 PM,41.798489052,-87.700034942,"(41.798489052, -87.700034942)",22,11,0,2025,3,2,0,-1,1,3,59.260643,-68.823105
14018370,JJ476484,2025-11-03 22:10:00,008XX W NEWPORT AVE,0325,ROBBERY,VEHICULAR HIJACKING,STREET,0,0,1924,19,44,6,03,1169952.0,1923109.0,2025,11/11/2025 03:41:33 PM,41.944510769,-87.650729517,"(41.944510769, -87.650729517)",22,11,0,2025,3,23,2,-1,0,3,53.63282,-35.03947
14018511,JJ476591,2025-11-03 22:05:00,068XX S CORNELL AVE,0460,BATTERY,SIMPLE,APARTMENT,0,0,332,3,5,43,08B,1188380.0,1860048.0,2025,11/11/2025 03:41:33 PM,41.771046097,-87.585017278,"(41.771046097, -87.585017278)",22,11,0,2025,3,2,2,-1,0,3,53.35128,-71.46739
14018672,JJ476828,2025-11-03 22:00:00,130XX S CHAMPLAIN AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,CHA PARKING LOT / GROUNDS,0,0,533,5,10,54,06,1183121.0,1818931.0,2025,11/11/2025 03:41:33 PM,41.658339943,-87.605568578,"(41.658339943, -87.605568578)",22,11,0,2025,2,26,2,-1,0,3,73.49028,-40.77251
14018609,JJ476821,2025-11-03 22:00:00,086XX S HERMITAGE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,614,6,18,71,14,1166181.0,1847498.0,2025,11/11/2025 03:41:33 PM,41.737108349,-87.666746945,"(41.737108349, -87.666746945)",22,11,0,2025,3,5,2,-1,0,3,57.846085,-69.61504
14018779,JJ477050,2025-11-03 22:00:00,077XX S DAMEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,611,6,17,71,14,1164372.0,1853279.0,2025,11/11/2025 03:41:33 PM,41.753010527,-87.673212128,"(41.753010527, -87.673212128)",22,11,0,2025,3,5,2,-1,0,3,58.094563,-69.48473
14018364,JJ476496,2025-11-03 22:00:00,041XX W 16TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,1012,10,24,29,08B,1149155.0,1891729.0,2025,11/11/2025 03:41:33 PM,41.85882988,-87.727984675,"(41.85882988, -87.727984675)",22,11,0,2025,3,2,0,-1,1,3,65.10302,-62.924507
14023248,JJ482112,2025-11-03 22:00:00,010XX W 16TH ST,0890,THEFT,FROM BUILDING,APARTMENT,0,0,1235,12,25,31,06,1169561.0,1892242.0,2025,11/11/2025 03:41:33 PM,41.859818368,-87.653066321,"(41.859818368, -87.653066321)",22,11,0,2025,2,26,2,-1,0,3,65.60742,-31.850327
14023245,JJ482158,2025-11-03 22:00:00,057XX N Rogers Ave,0710,THEFT,THEFT FROM MOTOR VEHICLE,RESIDENCE,0,0,1711,17,39,12,06,1145270.0,1937711.0,2025,11/11/2025 03:41:33 PM,41.985083325,-87.741079642,"(41.985083325, -87.741079642)",22,11,0,2025,2,26,2,-1,0,3,60.54473,-31.766487
14018385,JJ476477,2025-11-03 21:54:00,011XX W FOSTER AVE,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,1,0,2023,20,48,77,18,1167788.0,1934693.0,2025,11/11/2025 03:41:33 PM,41.976344702,-87.658348026,"(41.976344702, -87.658348026)",21,11,0,2025,1,16,3,-1,2,3,80.4824,-28.805384
